"state","business","state-2"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"Arizona",20044,"Arizona"
"Arizona",82006,"Arizona"
"Arizona",33967,"Arizona"
"Arizona",136017,"Arizona"
"Arizona",55541,"Arizona"
"Arizona",79289,"Arizona"
"Arizona",41656,"Arizona"
"Arizona",176486,"Arizona"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
"California",283187,"California"
"California",806195,"California"
"California",192867,"California"
"California",424699,"California"
"California",297333,"California"
"California",914899,"California"
"California",101116,"California"
"California",421892,"California"
